,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,67200,5256,611,11.62,4.62,5.0,87.2,100.0,5126.455630257553,7124.473815560616,59730,tab:red
1,1,67200,4901,616,12.57,4.59,5.0,87.89,100.0,4812.884107897328,7593.7457715776245,60228,tab:red
2,2,67200,4938,291,5.89,4.49,5.0,92.18,100.0,5134.688477644805,6165.1809035379165,60205,tab:red
3,3,67200,5029,475,9.45,4.5,5.0,94.19,100.0,4262.41039643833,5108.07746753367,59758,tab:red
4,4,65856,4395,354,8.05,4.46,5.0,94.5,100.0,3363.4420928200752,4608.020685251799,59202,tab:red
5,5,67200,5492,575,10.47,4.6,5.0,89.1,100.0,6247.050401521121,8458.06002425461,59450,tab:red
6,6,67200,5009,235,4.69,4.55,5.0,90.27,100.0,5058.786352082097,6180.723963661353,59912,tab:red
7,7,67200,4942,389,7.87,4.65,5.0,89.77,100.0,5086.54245922714,6877.956339591955,60244,tab:red
8,8,67200,4894,779,15.92,4.64,5.0,88.22,100.0,5069.0821007879085,8326.340331108679,60372,tab:red
9,9,67200,5158,652,12.64,4.6,5.0,89.28,100.0,4803.1563728011,6287.414740018437,59860,tab:red
10,10,67200,5894,731,12.4,4.6,5.0,88.83,100.0,6230.979953166724,8647.968910297259,58860,tab:red
11,11,67200,4994,320,6.41,4.56,5.0,90.3,100.0,5306.0841805771815,6921.1989185946995,59997,tab:red
12,12,67200,4823,379,7.86,4.52,5.0,92.18,100.0,5125.331871393381,6871.456404102118,60333,tab:red
13,13,67200,5272,523,9.92,4.58,5.0,91.73,100.0,4900.3768282634355,6892.836004767139,59653,tab:red
14,14,67200,5804,495,8.53,4.54,5.0,92.02,100.0,5478.52139183885,7431.924233961141,58880,tab:red
15,15,67200,4472,224,5.01,4.44,5.0,91.17,100.0,4548.998338954167,5579.655446602676,60673,tab:red
16,16,67200,4162,319,7.66,4.44,5.0,92.33,100.0,4250.203326991703,5655.483578794287,61297,tab:red
17,17,67200,4999,483,9.66,4.48,5.0,91.91,100.0,4947.458212316295,7053.344986826038,60051,tab:red
18,18,67200,5290,291,5.5,4.4,5.0,93.54,100.0,4913.803830680123,6092.886622793445,59493,tab:red
19,19,65856,4700,286,6.09,4.37,5.0,95.31,100.0,3558.6508147991517,4648.821874846353,58747,tab:red
20,20,67200,5463,599,10.96,4.53,5.0,91.08,100.0,5284.251912767666,7166.72436305518,59480,tab:red
21,21,67200,4929,510,10.35,4.56,5.0,91.12,100.0,5099.079771328376,7185.5707753528595,60247,tab:red
22,22,67200,4945,369,7.46,4.49,5.0,92.63,100.0,4832.666282288392,6268.402538132303,60125,tab:red
23,23,67200,5256,457,8.69,4.53,5.0,92.03,100.0,5680.411115439943,7891.039702160398,59651,tab:red
24,24,67200,5009,360,7.19,4.49,5.0,90.43,100.0,5496.164262817063,7194.676481258601,60119,tab:red
25,25,67200,5055,528,10.45,4.57,5.0,91.22,100.0,5201.596271231813,7759.781727934888,60005,tab:red
26,26,67200,5132,489,9.53,4.55,5.0,91.17,100.0,5288.221903590054,7147.568139239336,59899,tab:red
27,27,67200,4925,308,6.25,4.46,5.0,90.95,100.0,5208.413465269256,6692.7224748611525,60287,tab:red
28,28,67200,5465,458,8.38,4.48,5.0,92.33,100.0,5223.748350819396,6739.423690227514,59341,tab:red
29,29,67200,5611,718,12.8,4.57,5.0,89.21,100.0,5349.604419615525,7790.561145754974,59278,tab:red
