TagNr.,Tag,Datum,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,0:00
153,Sa,01.06.1996,76.3,72.1,68.5,65.1,60.9,56.6,52.3,48.7,46.3,44.7,43.7,43.1,42.7,42.5,42.4,42.4,42.5,42.8,43.1,43.1,43.1,43.2,43.8,45.3,47.7,51.3,55.9,61.5,67.9,75.2,82.7,90.4,98.2,105.7,112.8,119.5,125.5,130.8,135.0,137.8,139.4,139.9,140.1,140.6,141.9,143.9,146.4,149.1,152.0,154.5,156.0,156.2,154.7,151.8,147.9,143.5,139.0,135.0,131.3,128.7,127.1,126.2,125.7,125.1,124.2,123.1,122.4,122.3,123.1,124.8,127.4,130.8,134.9,139.3,143.7,147.8,151.0,153.3,154.4,154.1,152.3,149.2,145.2,140.6,136.0,131.7,128.3,126.5,126.5,127.1,126.9,124.4,118.7,110.7,101.5,92.6
154,So,02.06.1996,84.8,78.3,72.7,67.7,62.7,58.2,54.1,50.7,48.3,46.6,45.3,44.4,43.6,43.0,42.5,42.3,42.3,42.3,42.4,42.3,41.9,41.4,41.0,40.9,41.2,42.2,43.9,46.5,50.1,55.0,61.2,69.1,78.7,89.4,100.8,112.0,122.6,132.3,140.6,147.3,152.4,156.3,159.8,163.5,167.9,172.5,176.7,179.7,181.0,180.2,177.0,171.3,162.9,153.2,143.3,134.6,128.2,123.6,119.9,116.3,112.1,107.5,103.0,98.7,95.0,92.2,90.4,89.5,89.8,91.2,93.5,96.5,100.2,104.5,109.4,114.9,120.9,126.8,131.8,135.3,136.7,136.2,134.6,132.5,130.3,128.3,126.4,124.7,123.1,121.1,117.9,112.8,105.3,96.4,86.8,77.6
155,Mo,03.06.1996,72.9,64.9,58.1,52.7,49.0,46.7,45.3,44.2,43.3,42.5,41.5,40.8,40.1,39.6,39.3,39.3,39.8,40.5,41.6,42.9,44.5,46.9,51.1,57.6,66.9,77.7,88.4,97.7,104.3,108.6,111.5,113.8,116.3,118.8,120.9,122.3,122.7,122.3,121.4,120.1,118.9,117.8,116.9,116.7,117.0,118.3,120.4,123.7,127.9,132.3,135.7,137.0,135.5,131.8,126.8,121.6,116.9,112.8,109.3,106.1,103.3,101.0,99.1,97.7,96.8,96.4,96.8,97.7,99.3,101.6,104.6,108.2,112.5,117.3,122.5,127.9,133.3,138.3,142.1,144.0,143.9,142.1,139.6,137.0,135.2,133.7,132.4,130.7,128.3,124.9,120.3,114.6,107.4,99.2,90.4,81.5
156,Di,04.06.1996,72.7,64.7,57.9,52.5,48.8,46.6,45.1,44.1,43.2,42.3,41.4,40.7,40.0,39.5,39.1,39.2,39.7,40.4,41.5,42.8,44.4,46.8,50.9,57.4,66.7,77.5,88.1,97.4,104.0,108.3,111.1,113.5,116.0,118.5,120.6,121.9,122.3,122.0,121.1,119.8,118.5,117.4,116.6,116.4,116.7,118.0,120.1,123.3,127.5,131.9,135.3,136.6,135.1,131.4,126.5,121.2,116.5,112.5,108.9,105.8,103.0,100.7,98.8,97.4,96.5,96.1,96.5,97.4,99.0,101.3,104.3,107.9,112.1,116.9,122.2,127.5,132.9,137.9,141.7,143.6,143.5,141.7,139.2,136.6,134.8,133.4,132.0,130.3,127.9,124.5,120.0,114.2,107.1,98.9,90.2,81.2
157,Mi,05.06.1996,72.5,64.6,57.8,52.4,48.7,46.4,45.0,44.0,43.1,42.2,41.3,40.5,39.9,39.4,39.0,39.1,39.5,40.3,41.4,42.6,44.2,46.7,50.8,57.3,66.5,77.2,87.9,97.1,103.7,108.0,110.8,113.2,115.7,118.1,120.2,121.6,122.0,121.6,120.7,119.5,118.2,117.1,116.3,116.0,116.4,117.6,119.7,123.0,127.2,131.6,134.9,136.3,134.7,131.1,126.1,120.9,116.2,112.2,108.6,105.5,102.8,100.4,98.6,97.1,96.2,95.9,96.2,97.1,98.7,101.0,104.0,107.6,111.8,116.6,121.8,127.2,132.6,137.5,141.3,143.2,143.1,141.3,138.8,136.3,134.4,133.0,131.6,130.0,127.5,124.2,119.6,113.9,106.8,98.6,89.9,81.0
158,Do,06.06.1996,83.8,77.4,71.9,66.9,62.0,57.5,53.5,50.1,47.7,46.0,44.8,43.9,43.1,42.5,42.0,41.8,41.8,41.9,41.9,41.8,41.4,40.9,40.5,40.4,40.8,41.7,43.5,46.0,49.6,54.3,60.5,68.3,77.8,88.4,99.6,110.8,121.2,130.8,139.0,145.7,150.7,154.5,158.0,161.7,166.0,170.5,174.7,177.7,178.9,178.2,175.0,169.4,161.1,151.5,141.7,133.1,126.8,122.2,118.5,114.9,110.8,106.3,101.8,97.5,93.9,91.2,89.3,88.5,88.8,90.2,92.4,95.4,99.0,103.3,108.2,113.6,119.6,125.4,130.4,133.8,135.1,134.6,133.1,131.0,128.8,126.8,125.0,123.3,121.7,119.7,116.5,111.5,104.1,95.3,85.8,76.7
159,Fr,07.06.1996,72.1,64.2,57.4,52.1,48.4,46.2,44.8,43.8,42.8,42.0,41.1,40.3,39.7,39.2,38.8,38.9,39.3,40.1,41.2,42.4,44.0,46.4,50.5,56.9,66.1,76.8,87.4,96.6,103.1,107.4,110.2,112.5,115.1,117.5,119.6,120.9,121.3,121.0,120.1,118.8,117.6,116.5,115.6,115.4,115.7,117.0,119.1,122.3,126.5,130.8,134.2,135.5,134.0,130.3,125.4,120.2,115.6,111.5,108.0,105.0,102.2,99.9,98.0,96.6,95.7,95.3,95.7,96.6,98.2,100.4,103.4,107.0,111.2,116.0,121.1,126.5,131.8,136.8,140.5,142.4,142.3,140.5,138.0,135.5,133.7,132.3,130.9,129.2,126.8,123.5,119.0,113.3,106.2,98.1,89.4,80.6
160,Sa,08.06.1996,74.8,70.7,67.2,63.8,59.7,55.5,51.3,47.8,45.4,43.8,42.8,42.3,41.9,41.6,41.6,41.6,41.7,42.0,42.2,42.3,42.3,42.4,43.0,44.4,46.8,50.3,54.8,60.3,66.6,73.7,81.1,88.7,96.3,103.6,110.6,117.2,123.1,128.2,132.3,135.1,136.6,137.1,137.4,137.9,139.1,141.1,143.6,146.2,149.1,151.5,153.0,153.1,151.6,148.8,145.0,140.7,136.3,132.3,128.7,126.2,124.6,123.7,123.2,122.7,121.7,120.7,120.0,119.9,120.7,122.3,124.9,128.2,132.2,136.6,140.9,144.9,148.1,150.3,151.4,151.1,149.3,146.3,142.4,137.9,133.3,129.2,125.8,124.1,124.0,124.6,124.4,122.0,116.4,108.5,99.5,90.8
161,So,09.06.1996,83.1,76.8,71.3,66.4,61.5,57.1,53.1,49.7,47.3,45.7,44.4,43.5,42.8,42.2,41.7,41.4,41.4,41.5,41.6,41.4,41.1,40.6,40.2,40.1,40.4,41.4,43.1,45.6,49.2,53.9,60.0,67.8,77.2,87.7,98.8,109.9,120.3,129.7,137.9,144.5,149.5,153.3,156.7,160.4,164.7,169.2,173.3,176.2,177.5,176.7,173.6,168.0,159.8,150.2,140.5,132.1,125.7,121.3,117.6,114.0,110.0,105.5,101.0,96.8,93.2,90.4,88.6,87.8,88.1,89.4,91.7,94.7,98.2,102.5,107.3,112.7,118.6,124.4,129.3,132.7,134.0,133.5,132.1,130.0,127.8,125.8,124.0,122.3,120.8,118.8,115.6,110.6,103.3,94.5,85.1,76.1
162,Mo,10.06.1996,71.5,63.7,57.0,51.7,48.0,45.8,44.4,43.4,42.5,41.7,40.8,40.0,39.3,38.9,38.5,38.6,39.0,39.8,40.8,42.1,43.7,46.1,50.1,56.5,65.6,76.2,86.7,95.8,102.3,106.5,109.3,111.7,114.1,116.6,118.6,119.9,120.4,120.0,119.1,117.9,116.6,115.6,114.7,114.5,114.8,116.1,118.1,121.4,125.5,129.8,133.1,134.4,133.0,129.3,124.4,119.3,114.6,110.7,107.2,104.1,101.4,99.1,97.3,95.8,94.9,94.6,94.9,95.8,97.4,99.7,102.6,106.2,110.3,115.1,120.2,125.5,130.8,135.7,139.4,141.3,141.2,139.4,136.9,134.4,132.6,131.2,129.9,128.2,125.8,122.5,118.0,112.4,105.4,97.3,88.7,79.9
