,car_id,median_trip_length,decile_label
0,1464,0.0,0
1,12851,1868.0,0
2,3767,1866.5,0
3,8258,1866.0,0
4,13088,1858.0,0
5,1412,1851.0,0
6,7350,1849.0,0
7,8757,1748.0,0
8,13344,1878.0,0
9,8228,1737.0,0
10,3340,1702.0,0
11,7606,1656.0,0
12,9505,1619.0,0
13,8309,1613.0,0
14,6866,1612.0,0
15,2738,1596.0,0
16,13309,1586.5,0
17,2080,1719.5,0
18,1921,1568.0,0
19,3332,1906.5,0
20,12024,113.5,0
21,12499,386.0,0
22,12570,659.0,0
23,12584,1069.0,0
24,9687,1071.5,0
25,10183,1217.0,0
26,9564,1237.0,0
27,9614,1379.5,0
28,2818,1913.0,0
29,11832,1448.0,0
30,12228,1597.0,0
31,11826,1615.0,0
32,9625,1703.0,0
33,9634,1773.0,0
34,11860,1832.0,0
35,8939,1893.0,0
36,12184,1909.0,0
37,9631,1586.0,0
38,4276,1544.0,0
39,12103,0.0,0
40,3122,1468.0,0
41,2349,0.0,0
42,2863,0.0,0
43,333,0.0,0
44,3487,0.0,0
45,4073,0.0,0
46,4411,0.0,0
47,4766,0.0,0
48,203,0.0,0
49,5511,0.0,0
50,8536,0.0,0
51,1167,0.0,0
52,3742,3.5,0
53,2257,149.5,0
54,4901,279.0,0
55,6999,297.0,0
56,863,1532.0,0
57,6507,0.0,0
58,263,365.0,0
59,8300,91.5,0
60,849,790.0,0
61,2598,1456.0,0
62,2532,789.5,0
63,536,1408.0,0
64,8640,1371.5,0
65,2627,1272.5,0
66,3315,1271.0,0
67,13539,1226.0,0
68,1972,1135.0,0
69,7099,1376.0,0
70,3342,1074.0,0
71,9688,1062.0,0
72,13586,1022.5,0
73,2536,989.0,0
74,8042,831.5,0
75,1858,988.0,0
76,1471,1119.0,0
77,8108,906.5,0
78,11844,2780.5,1
79,1149,2794.0,1
80,12043,2834.0,1
81,7535,2874.0,1
82,907,2844.5,1
83,4023,2851.0,1
84,8712,2832.5,1
85,463,2832.0,1
86,5166,2773.5,1
87,9724,2695.0,1
88,5271,2757.0,1
89,12997,2856.0,1
90,9720,2669.0,1
91,12132,2362.0,1
92,12035,2640.0,1
93,9654,2582.0,1
94,10306,2551.0,1
95,9655,2496.0,1
96,11886,2480.0,1
97,1095,2418.5,1
98,1092,2418.0,1
99,12513,2312.0,1
100,9569,2244.0,1
101,9575,2182.0,1
102,12574,2132.0,1
103,11882,2114.0,1
104,996,2009.0,1
105,3256,2754.5,1
106,894,2659.0,1
107,2615,2718.0,1
108,3430,2716.5,1
109,2910,2706.0,1
110,7902,2416.0,1
111,8716,2410.0,1
112,13453,2375.5,1
113,13549,2350.0,1
114,13282,2331.5,1
115,5296,2326.0,1
116,1964,2324.5,1
117,3184,2300.5,1
118,13572,2296.5,1
119,2820,2292.0,1
120,905,2272.0,1
121,7984,2230.0,1
122,12791,2450.0,1
123,12802,2202.0,1
124,1459,2148.0,1
125,1489,2131.0,1
126,13159,2127.0,1
127,8656,2081.0,1
128,2310,2076.0,1
129,7543,2034.0,1
130,3593,2033.5,1
131,4890,2027.5,1
132,2471,2014.5,1
133,13332,1964.0,1
