,CAR_ID,NUTS_ID,URBAN-RURAL CATEGORY ,URBAN-RURAL LABEL
0,10019,ITC11,1,perdominantly urban
1,10270,ITC11,1,perdominantly urban
2,12023,ITC11,1,perdominantly urban
3,12078,ITC11,1,perdominantly urban
4,12169,ITC11,1,perdominantly urban
5,12210,ITC11,1,perdominantly urban
6,12696,ITC11,1,perdominantly urban
7,13007,ITC11,1,perdominantly urban
8,13009,ITC11,1,perdominantly urban
9,13074,ITC11,1,perdominantly urban
10,13247,ITC11,1,perdominantly urban
11,13281,ITC11,1,perdominantly urban
12,13324,ITC11,1,perdominantly urban
13,13553,ITC11,1,perdominantly urban
14,13579,ITC11,1,perdominantly urban
15,13586,ITC11,1,perdominantly urban
16,1762,ITC11,1,perdominantly urban
17,1786,ITC11,1,perdominantly urban
18,2405,ITC11,1,perdominantly urban
19,2627,ITC11,1,perdominantly urban
20,2808,ITC11,1,perdominantly urban
21,2863,ITC11,1,perdominantly urban
22,288,ITC11,1,perdominantly urban
23,3314,ITC11,1,perdominantly urban
24,5988,ITC11,1,perdominantly urban
25,6545,ITC11,1,perdominantly urban
26,6824,ITC11,1,perdominantly urban
27,6882,ITC11,1,perdominantly urban
28,7260,ITC11,1,perdominantly urban
29,7964,ITC11,1,perdominantly urban
30,8081,ITC11,1,perdominantly urban
31,908,ITC11,1,perdominantly urban
32,9597,ITC11,1,perdominantly urban
33,9687,ITC11,1,perdominantly urban
34,9697,ITC11,1,perdominantly urban
35,10020,ITH55,2,intermediate
36,1018,ITH55,2,intermediate
37,1044,ITH55,2,intermediate
38,1149,ITH55,2,intermediate
39,1151,ITH55,2,intermediate
40,1154,ITH55,2,intermediate
41,1155,ITH55,2,intermediate
42,1161,ITH55,2,intermediate
43,1167,ITH55,2,intermediate
44,11851,ITH55,2,intermediate
45,12128,ITH55,2,intermediate
46,12195,ITH55,2,intermediate
47,12233,ITH55,2,intermediate
48,12508,ITH55,2,intermediate
49,12525,ITH55,2,intermediate
50,12557,ITH55,2,intermediate
51,12620,ITH55,2,intermediate
52,12634,ITH55,2,intermediate
53,12688,ITH55,2,intermediate
54,12930,ITH55,2,intermediate
55,12932,ITH55,2,intermediate
56,13191,ITH55,2,intermediate
57,13311,ITH55,2,intermediate
58,1471,ITH55,2,intermediate
59,1656,ITH55,2,intermediate
60,1710,ITH55,2,intermediate
61,1793,ITH55,2,intermediate
62,1824,ITH55,2,intermediate
63,1882,ITH55,2,intermediate
64,1894,ITH55,2,intermediate
65,1917,ITH55,2,intermediate
66,192,ITH55,2,intermediate
67,1920,ITH55,2,intermediate
68,1922,ITH55,2,intermediate
69,1936,ITH55,2,intermediate
70,1937,ITH55,2,intermediate
71,2067,ITH55,2,intermediate
72,2089,ITH55,2,intermediate
73,2099,ITH55,2,intermediate
74,2140,ITH55,2,intermediate
75,2147,ITH55,2,intermediate
76,2162,ITH55,2,intermediate
77,2214,ITH55,2,intermediate
78,2215,ITH55,2,intermediate
79,2218,ITH55,2,intermediate
80,2223,ITH55,2,intermediate
81,2232,ITH55,2,intermediate
82,2252,ITH55,2,intermediate
83,2258,ITH55,2,intermediate
84,2259,ITH55,2,intermediate
85,2271,ITH55,2,intermediate
86,2283,ITH55,2,intermediate
87,2363,ITH55,2,intermediate
88,2388,ITH55,2,intermediate
89,2404,ITH55,2,intermediate
90,2464,ITH55,2,intermediate
91,2477,ITH55,2,intermediate
92,2488,ITH55,2,intermediate
93,2496,ITH55,2,intermediate
94,2520,ITH55,2,intermediate
95,2522,ITH55,2,intermediate
96,2527,ITH55,2,intermediate
97,2531,ITH55,2,intermediate
98,2532,ITH55,2,intermediate
99,2533,ITH55,2,intermediate
100,2582,ITH55,2,intermediate
101,263,ITH55,2,intermediate
102,2648,ITH55,2,intermediate
103,268,ITH55,2,intermediate
104,2682,ITH55,2,intermediate
105,2688,ITH55,2,intermediate
106,280,ITH55,2,intermediate
107,2855,ITH55,2,intermediate
108,2868,ITH55,2,intermediate
109,2873,ITH55,2,intermediate
110,2874,ITH55,2,intermediate
111,289,ITH55,2,intermediate
112,2912,ITH55,2,intermediate
113,2935,ITH55,2,intermediate
114,2945,ITH55,2,intermediate
115,2982,ITH55,2,intermediate
116,3034,ITH55,2,intermediate
117,3036,ITH55,2,intermediate
118,3047,ITH55,2,intermediate
119,3094,ITH55,2,intermediate
120,3111,ITH55,2,intermediate
121,3120,ITH55,2,intermediate
122,3121,ITH55,2,intermediate
123,3135,ITH55,2,intermediate
124,3184,ITH55,2,intermediate
125,3192,ITH55,2,intermediate
126,3210,ITH55,2,intermediate
127,3218,ITH55,2,intermediate
128,3226,ITH55,2,intermediate
129,3231,ITH55,2,intermediate
130,3236,ITH55,2,intermediate
131,3241,ITH55,2,intermediate
132,3242,ITH55,2,intermediate
133,3258,ITH55,2,intermediate
134,328,ITH55,2,intermediate
135,3286,ITH55,2,intermediate
136,3294,ITH55,2,intermediate
137,3302,ITH55,2,intermediate
138,3303,ITH55,2,intermediate
139,332,ITH55,2,intermediate
140,3331,ITH55,2,intermediate
141,3334,ITH55,2,intermediate
142,3340,ITH55,2,intermediate
143,3412,ITH55,2,intermediate
144,3448,ITH55,2,intermediate
145,3453,ITH55,2,intermediate
146,3475,ITH55,2,intermediate
147,3483,ITH55,2,intermediate
148,3487,ITH55,2,intermediate
149,3497,ITH55,2,intermediate
150,3505,ITH55,2,intermediate
151,3507,ITH55,2,intermediate
152,3526,ITH55,2,intermediate
153,3530,ITH55,2,intermediate
154,3542,ITH55,2,intermediate
155,3592,ITH55,2,intermediate
156,3593,ITH55,2,intermediate
157,3597,ITH55,2,intermediate
158,366,ITH55,2,intermediate
159,383,ITH55,2,intermediate
160,390,ITH55,2,intermediate
161,395,ITH55,2,intermediate
162,398,ITH55,2,intermediate
163,403,ITH55,2,intermediate
164,4094,ITH55,2,intermediate
165,4303,ITH55,2,intermediate
166,454,ITH55,2,intermediate
167,467,ITH55,2,intermediate
168,490,ITH55,2,intermediate
169,492,ITH55,2,intermediate
170,507,ITH55,2,intermediate
171,557,ITH55,2,intermediate
172,562,ITH55,2,intermediate
173,5931,ITH55,2,intermediate
174,5978,ITH55,2,intermediate
175,5979,ITH55,2,intermediate
176,624,ITH55,2,intermediate
177,689,ITH55,2,intermediate
178,752,ITH55,2,intermediate
179,8229,ITH55,2,intermediate
180,8279,ITH55,2,intermediate
181,848,ITH55,2,intermediate
182,8503,ITH55,2,intermediate
183,8644,ITH55,2,intermediate
184,8646,ITH55,2,intermediate
185,9023,ITH55,2,intermediate
186,9024,ITH55,2,intermediate
187,9068,ITH55,2,intermediate
188,9090,ITH55,2,intermediate
189,9121,ITH55,2,intermediate
190,9122,ITH55,2,intermediate
191,9126,ITH55,2,intermediate
192,9163,ITH55,2,intermediate
193,9165,ITH55,2,intermediate
194,9171,ITH55,2,intermediate
195,9196,ITH55,2,intermediate
196,9239,ITH55,2,intermediate
197,9242,ITH55,2,intermediate
198,9244,ITH55,2,intermediate
199,9252,ITH55,2,intermediate
200,9290,ITH55,2,intermediate
201,9291,ITH55,2,intermediate
202,962,ITH55,2,intermediate
203,9689,ITH55,2,intermediate
204,9711,ITH55,2,intermediate
205,9981,ITH55,2,intermediate
206,1007,ITI13,1,perdominantly urban
207,11915,ITI13,1,perdominantly urban
208,2339,ITI13,1,perdominantly urban
209,2475,ITI13,1,perdominantly urban
210,2476,ITI13,1,perdominantly urban
211,2483,ITI13,1,perdominantly urban
212,4298,ITI13,1,perdominantly urban
213,4350,ITI13,1,perdominantly urban
