,car_id,median_trip_length,decile_label
0,1464,0.0,0
1,9564,1237.0,0
2,10183,1217.0,0
3,9687,1071.5,0
4,12584,1069.0,0
5,8108,906.5,0
6,8042,831.5,0
7,8640,1371.5,0
8,849,790.0,0
9,6999,297.0,0
10,4901,279.0,0
11,12024,113.5,0
12,8300,91.5,0
13,12103,0.0,0
14,13088,1858.0,0
15,12570,659.0,0
16,1412,1851.0,0
17,7099,1376.0,0
18,536,1408.0,0
19,7350,1849.0,0
20,11860,1832.0,0
21,9634,1773.0,0
22,8757,1748.0,0
23,8228,1737.0,0
24,9625,1703.0,0
25,9614,1379.5,0
26,7606,1656.0,0
27,8309,1613.0,0
28,6866,1612.0,0
29,12228,1597.0,0
30,9631,1586.0,0
31,863,1532.0,0
32,11832,1448.0,0
33,11826,1615.0,0
34,2080,1719.5,0
35,12499,386.0,0
36,9505,1619.0,0
37,2257,149.5,0
38,3742,3.5,0
39,1167,0.0,0
40,8536,0.0,0
41,6507,0.0,0
42,3340,1702.0,0
43,263,365.0,0
44,4766,0.0,0
45,4073,0.0,0
46,3487,0.0,0
47,333,0.0,0
48,2863,0.0,0
49,2349,0.0,0
50,203,0.0,0
51,4411,0.0,0
52,2532,789.5,0
53,5511,0.0,0
54,2536,989.0,0
55,1858,988.0,0
56,2738,1596.0,0
57,13309,1586.5,0
58,1921,1568.0,0
59,4276,1544.0,0
60,2598,1456.0,0
61,2627,1272.5,0
62,3122,1468.0,0
63,13539,1226.0,0
64,1972,1135.0,0
65,1471,1119.0,0
66,3342,1074.0,0
67,9688,1062.0,0
68,13586,1022.5,0
69,3315,1271.0,0
70,8716,2410.0,1
71,7984,2230.0,1
72,12132,2362.0,1
73,5296,2326.0,1
74,12513,2312.0,1
75,905,2272.0,1
76,9569,2244.0,1
77,9575,2182.0,1
78,8258,1866.0,1
79,11882,2114.0,1
80,8656,2081.0,1
81,7543,2034.0,1
82,4890,2027.5,1
83,996,2009.0,1
84,12184,1909.0,1
85,7902,2416.0,1
86,12574,2132.0,1
87,1092,2418.0,1
88,10306,2551.0,1
89,11886,2480.0,1
90,13282,2331.5,1
91,1964,2324.5,1
92,3184,2300.5,1
93,13572,2296.5,1
94,2820,2292.0,1
95,12802,2202.0,1
96,12932,2172.0,1
97,1459,2148.0,1
98,1489,2131.0,1
99,13159,2127.0,1
100,13549,2350.0,1
101,2310,2076.0,1
102,2471,2014.5,1
103,13332,1964.0,1
104,13022,1941.0,1
105,13247,1927.5,1
106,2818,1913.0,1
107,3332,1906.5,1
108,8939,1893.0,1
