,id,length,cols,label,earliest_entry,latest_entry,timestamp_density,median_trip_distance,average_trip_distance
quarterly_simulation_12604.csv,12604,91710,428,private,2007-06-30 18:17:29,2009-06-23 14:05:46,681.9239777559699,2348.0,16408.189373814042
quarterly_simulation_12620.csv,12620,93455,428,private,2007-06-30 09:52:41,2009-06-30 21:29:25,676.2681825477503,2204.0,4995.117141564902
quarterly_simulation_12634.csv,12634,90019,428,private,2007-06-30 13:44:42,2009-06-30 21:04:24,701.9051533565137,2651.0,6334.24609304832
quarterly_simulation_12642.csv,12642,83803,428,private,2007-06-30 11:54:23,2009-06-26 18:05:25,749.7989212796678,3401.0,19450.946786454733
quarterly_simulation_12666.csv,12666,106563,428,private,2007-06-30 19:34:01,2009-06-30 22:14:39,592.7826450081172,5717.0,8203.328630374019
quarterly_simulation_12686.csv,12686,105639,428,commercial,2007-06-30 22:02:05,2009-06-30 19:22:46,597.7869536818788,4766.5,20386.193652501344
quarterly_simulation_12688.csv,12688,88950,428,private,2007-06-30 22:53:34,2009-06-30 19:33:13,709.9130410342889,7467.0,13888.22201699298
quarterly_simulation_12692.csv,12692,85044,428,commercial,2007-06-30 13:54:06,2009-06-28 09:36:00,740.4457457316213,835.0,4729.788911610997
quarterly_simulation_12696.csv,12696,86895,428,private,2007-06-30 23:14:41,2009-06-27 01:28:35,722.9512975430117,3285.0,9830.351874615857
quarterly_simulation_12706.csv,12706,84240,428,private,2007-06-29 18:40:18,2009-06-30 16:57:13,750.6991571699905,9990.5,37487.333333333336
quarterly_simulation_12791.csv,12791,92587,428,private,2007-06-30 22:41:11,2009-06-30 17:10:54,681.9403587976714,2246.5,5399.545582706767
quarterly_simulation_12794.csv,12794,104727,428,private,2007-06-30 19:01:54,2009-06-30 22:56:40,603.2185778261576,2599.5,14795.822597137014
quarterly_simulation_12801.csv,12801,90619,428,private,2007-06-30 22:15:46,2009-06-30 22:03:17,696.9675785431311,7671.0,11117.08743169399
quarterly_simulation_12802.csv,12802,80011,428,private,2007-06-30 11:03:44,2009-06-30 15:46:05,789.5916436489982,3780.0,13447.084769124742
quarterly_simulation_12804.csv,12804,102484,428,private,2007-06-30 11:21:58,2009-06-30 15:39:10,616.4309941063971,5347.5,24358.713987473904
quarterly_simulation_12814.csv,12814,82001,428,private,2007-06-30 18:13:19,2009-06-30 14:49:38,770.0671943025085,2829.0,8665.160031533307
quarterly_simulation_12851.csv,12851,104659,428,private,2007-06-30 21:42:45,2009-06-30 16:56:51,603.3057930994945,2021.0,6665.559214538358
quarterly_simulation_12852.csv,12852,95461,428,private,2007-06-30 22:14:40,2009-06-30 20:43:43,661.5577356197819,3961.0,5457.22618192269
quarterly_simulation_12856.csv,12856,92945,428,private,2007-06-29 14:03:10,2009-06-09 11:07:23,660.8269729409866,3983.0,11816.646583394562
quarterly_simulation_12858.csv,12858,97128,428,private,2007-07-01 00:01:33,2009-06-30 20:22:23,650.1260192735359,2968.0,8562.47672933017
quarterly_simulation_12859.csv,12859,86946,428,private,2007-06-30 11:55:07,2009-06-30 13:40:32,726.4856117590228,6342.0,12260.426753670474
quarterly_simulation_12865.csv,12865,83528,428,private,2007-06-30 10:30:36,2009-06-28 19:18:28,754.4552245953453,2188.5,10269.501977848102
quarterly_simulation_12906.csv,12906,86851,428,private,2007-06-30 23:37:03,2009-06-30 23:07:33,727.1891745633326,6152.0,7774.003829461322
quarterly_simulation_12927.csv,12927,83278,428,private,2007-06-29 23:58:58,2009-06-28 21:46:02,757.2718605153822,4614.0,24492.460122699387
quarterly_simulation_12930.csv,12930,99059,428,private,2007-06-30 20:49:11,2009-06-30 19:42:24,637.5497632723932,7380.0,10231.731020812686
quarterly_simulation_12932.csv,12932,73979,428,private,2007-06-29 09:32:19,2009-06-29 14:19:06,853.9770475405182,3861.0,12413.01996672213
quarterly_simulation_12945.csv,12945,106535,428,private,2007-06-30 19:31:23,2009-06-30 17:19:30,592.7751818651147,3944.0,10756.009523809524
quarterly_simulation_12952.csv,12952,102258,428,commercial,2007-06-30 09:57:26,2009-06-30 16:49:57,617.881290461382,4143.5,7285.085791610284
quarterly_simulation_12963.csv,12963,83928,428,private,2007-06-30 20:34:38,2009-06-30 17:18:26,752.397888666476,3735.0,5806.739187076602
quarterly_simulation_12988.csv,12988,79657,428,private,2007-06-29 10:06:01,2009-06-30 15:58:06,794.2360872239727,2441.0,9692.270784951232
quarterly_simulation_12991.csv,12991,95363,428,private,2007-06-30 17:03:10,2009-06-29 19:11:04,661.4765055629542,6290.0,13127.364680737377
quarterly_simulation_12997.csv,12997,81017,428,private,2007-06-30 21:17:45,2009-06-30 14:58:12,779.2977029512325,2786.0,4031.7759233926126
quarterly_simulation_12999.csv,12999,94133,428,private,2007-06-30 21:21:50,2009-06-30 20:29:25,670.9203467434374,7293.5,12891.054499720514
quarterly_simulation_13003.csv,13003,92719,428,private,2007-06-30 17:27:26,2009-06-30 18:47:11,681.2340404879259,3161.0,6763.56845505114
quarterly_simulation_13005.csv,13005,85541,428,private,2007-06-30 18:25:50,2009-06-30 21:04:30,738.4548929752984,10030.0,11540.624194160031
quarterly_simulation_13007.csv,13007,93017,428,private,2007-06-30 15:35:43,2009-06-30 18:42:45,679.1250954126665,6705.0,10417.08184705595
quarterly_simulation_13009.csv,13009,54065,428,private,2008-03-31 14:15:05,2009-06-30 16:31:09,728.8903911957829,3260.0,10784.908936651584
quarterly_simulation_13011.csv,13011,90501,428,private,2007-06-30 23:26:40,2009-06-30 23:11:33,697.8673495320494,3115.0,7546.995799159832
quarterly_simulation_13012.csv,13012,81974,428,private,2007-06-28 17:01:30,2009-06-29 16:05:10,771.4913265181643,1845.0,7433.3538692712245
quarterly_simulation_13022.csv,13022,81657,428,private,2007-06-30 19:21:12,2009-06-30 08:39:22,772.9945748680456,1933.5,4658.121472053127
